fff,fff,fff,fff,fff,fff,fff,fff
fff,fff,fff,eee,eee,fee,eee,fee
eee,fee,fee,fee,fee,fee,ddd,ddd
ddd,dee,ddd,ddd,ddd,ddd,ddd,ddd
ddd,ddd,ddd,ddd,ddd,fdd,fdd,fcc
fcc,fcc,fcc,fcc,ddd,ddd,ddd,ddd
ddd,ccc,ccc,ccc,ccc,ccc,fcc,fcc
fcc,fcc,fcc,ccc,fcc,fbb,fbb,fbb
faa,ccc,bcc,bbb,bbb,bcc,cbb,bbb
bbb,aaa,baa,aaa,aaa,aaa,faa,faa
faa,f99,f99,f99,f88,f88,f88,f88
f88,f77,f77,f77,f77,f88,f77,aaa
a99,999,999,988,999,999,999,999
888,888,888,888,888,888,977,877
877,888,888,888,888,877,777,777
f77,f77,f77,f77,f77,f77,f77,866
777,777,777,777,766,766,777,777
777,666,766,766,666,666,666,566
755,755,655,555,555,555,755,755
755,755,755,755,555,444,444,444
444,444,444,433,333,333,333,222
222,222,222,222,122,111,111,211
211,111,211,211,211,111,211,211
211,211,200,200,200,200,100,200
100,100,100,100,100,100,100,111
111,111,000,000,000,300,300,300
300,300,300,300,300,300,300,100
100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100
100,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
